Key,Summary,Status,Issue Type,Priority,Assignee,Reporter,Sprint,Labels,Fix Versions,Resolution Date,Created,Updated,URL
DEV-2677,[account] update find employee function,Done,Task,Medium,Anparasan,Ryan Cherrry,DEV: Sprint 2614,,,2026-05-22T01:30:35.757-0500,2026-05-20T09:31:32.840-0500,2026-05-22T01:30:36.336-0500,https://benefitsme.atlassian.net/browse/DEV-2677
DEV-2579,[account] Duplicate employee_id in employee_manifest caused payroll deduction to be applied to wrong customer,Done,Task,Medium,Anparasan,Ryan Cherrry,DEV: Sprint 2612,,,2026-05-21T07:05:49.287-0500,2026-04-27T17:26:20.779-0500,2026-05-21T16:26:17.489-0500,https://benefitsme.atlassian.net/browse/DEV-2579
DEV-2594,[account] klaviyo profile id not always associated with customer,Done,Task,Medium,Anparasan,Andy Edinborough,DEV: Sprint 2614,,,2026-05-21T00:19:16.232-0500,2026-04-29T14:19:23.017-0500,2026-05-21T00:19:17.025-0500,https://benefitsme.atlassian.net/browse/DEV-2594
DEV-2702,[ledgers] Payliance Refund missing in Magento,Done,Task,Medium,Anparasan,Ryan Cherrry,DEV: Sprint 2615,,,2026-06-08T07:31:34.294-0500,2026-05-27T16:49:27.580-0500,2026-06-08T07:31:34.317-0500,https://benefitsme.atlassian.net/browse/DEV-2702
DEV-2752,[account] yesville.nonprod.benefitsme.com brand layout fix,Done,Task,Medium,Anparasan,Anparasan,DEV: Sprint 2616,,,2026-06-05T01:38:04.370-0500,2026-06-04T08:33:02.459-0500,2026-06-05T17:14:28.569-0500,https://benefitsme.atlassian.net/browse/DEV-2752
DEV-2745,Support React Router 7.16.0,Done,Task,Medium,Anparasan,Anparasan,DEV: Sprint 2616,,,2026-06-03T09:27:45.759-0500,2026-06-03T02:12:35.379-0500,2026-06-03T09:27:46.390-0500,https://benefitsme.atlassian.net/browse/DEV-2745
DEV-2700,Initial purchase not being captured,Done,Task,Medium,Anparasan,Ryan Cherrry,DEV: Sprint 2615,,,2026-06-02T07:22:11.033-0500,2026-05-27T10:23:51.965-0500,2026-06-03T09:20:48.494-0500,https://benefitsme.atlassian.net/browse/DEV-2700
DEV-2710,diagnostic view in CS tool paystubs model support,Done,Task,Medium,Anparasan,Ryan Cherrry,DEV: Sprint 2615,,,2026-06-02T09:39:38.233-0500,2026-05-28T15:44:14.568-0500,2026-06-02T09:39:38.935-0500,https://benefitsme.atlassian.net/browse/DEV-2710
DEV-2695,[communications] Create overpayment communication campaign,Done,Task,Medium,Anparasan,Ryan Cherrry,DEV: Sprint 2615,,,2026-05-28T00:02:02.955-0500,2026-05-26T16:43:20.927-0500,2026-05-28T13:25:13.161-0500,https://benefitsme.atlassian.net/browse/DEV-2695
DEV-2256,Renew Payliance API key every 6 months,Done,Task,Medium,Anparasan,Andy Edinborough,DEV: Sprint 2614,,,2026-05-27T04:17:54.266-0500,2026-03-09T12:31:28.244-0500,2026-05-27T04:17:54.288-0500,https://benefitsme.atlassian.net/browse/DEV-2256
DEV-2780,[employer] create filter to view the files,Done,Task,Medium,Anparasan,Anparasan,DEV: Sprint 2616,,,2026-06-12T09:13:24.828-0500,2026-06-11T07:21:45.820-0500,2026-06-12T09:13:25.481-0500,https://benefitsme.atlassian.net/browse/DEV-2780
DEV-2754,[customer-support] fix returns button,Done,Task,Medium,Anparasan,Ryan Cherrry,DEV: Sprint 2616,,,2026-06-09T00:30:16.884-0500,2026-06-05T13:06:30.927-0500,2026-06-09T05:01:56.517-0500,https://benefitsme.atlassian.net/browse/DEV-2754
